DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
39875,AP,6751.828,6735.46,6710.406,6776.309,6929.124,7244.658,7806.436,7961.524,7841.706,7641.301,7469.894,7218.869,7048.839,6869.791,6651.481,6574.968,6572.463,6765.665,7283.297,7507.839,7421.397,7188.325,6830.735,6527.462
39876,AP,6358.125,6330.806,6344.778,6430.046,6618.739,7031.769,7617.455,7763.29,7428.497,7082.038,6852.533,6700.758,6445.965,6288.126,6095.748,5953.443,5953.86,6146.584,6714.646,6911.262,6987.528,6763.321,6382.914,6019.988
39877,AP,5865.688,5792.846,5854.284,5818.658,5981.353,6411.519,7024.263,7084.819,6797.9,6580.406,6314.336,6066.029,5842.293,5694.127,5520.314,5413.163,5400.96,5632.658,5996.426,6182.915,6104.089,5861.132,5513.018,5172.921
39878,AP,4917.519,4777.598,4725.454,4705.972,4762.157,5123.169,5602.976,5845.334,5795.746,5690.62,5635.681,5477.417,5332.496,5211.355,5083.278,5003.584,5002.4,5042.749,5301.85,5364.27,5222.135,4991.945,4700.497,4364.396
39879,AP,4055.148,3909.092,3851.538,3764.18,3831.4,3943.648,4129.386,4296.936,4541.69,4726.123,4780.168,4755.933,4664.343,4596.371,4539.316,4447.977,4451.684,4536.584,4839.664,4923.344,4746.019,4574.329,4311.026,3965.846
39880,AP,3715.193,3595.816,,3511.279,3453.41,3519.455,3591.157,3732.247,3942.766,4214.762,4389.82,4492.195,4560.291,4522.632,4447.091,4379.37,4406.72,4556.893,4650.099,4888.951,4919.095,4753.849,4470.067,4133.431
39881,AP,3890.126,3848.955,3765.478,3718.713,3867.654,4104.529,4751.531,5144.017,5233.029,5309.101,5387.127,5415.711,5330.21,5277.131,5216.757,5115.564,5134.23,5141.371,5227.01,5573.118,5760.947,5551.755,5189.664,4887.911
39882,AP,4645.298,4548.86,4541.868,4556.795,4728.493,5045.895,5691.503,6088.118,5996.422,5951.891,5959.659,5914.999,5793.278,5719.322,5638.594,5583.026,5532.986,5565.946,5604.624,5871.438,5963.119,5691.671,5371.882,4998.19
39883,AP,4718.152,4561.306,4508.321,4450.661,4560.078,4855.202,5408.42,5696.205,5602.962,5578.208,5502.318,5404.524,5393.193,5340.751,5162.199,5140.22,5208.938,5278.792,5401.926,5726.521,5831.886,5702.148,5387.871,5055.996
39884,AP,4835.679,4773.558,4792.597,4795.146,4943.509,5362.019,6046.588,6330.199,6289.284,6172.645,6152.533,5995.52,5877.262,5853.468,5736.747,5591.858,5745.871,5850.971,6003.601,6279.561,6358.292,6162.062,5796.588,5438.124
39885,AP,5199.627,5039.608,5001.604,5008.937,5140.066,5465.371,6089.679,6404.113,6392.12,6270.573,6176.198,6016.319,5815.426,5753.262,5601.184,5489.609,5444.697,5522.093,5595.7,5815.181,5876.098,5762.715,5545.874,5202.172
39886,AP,4989.874,4867.731,4796.458,4860.725,4869.296,4969.396,5198.435,5412.839,5601.234,5687.367,5635.222,5488.171,5274.203,5070.684,4955.811,4956.03,4972.646,5053.114,5124.575,5322.92,5369.655,5230.102,4928.352,4636.518
39887,AP,4384.354,4222.624,4233.737,4190.246,4192.877,4242.519,4428.664,4665.195,4895.668,5104.771,5165.414,5148.44,5127.816,5009.627,4892.358,4838.53,4856.823,4959.269,5002.671,5272.186,5330.093,5144.005,4857.538,4587.475
39888,AP,4344.739,4286.509,4316.964,4302.152,4345.917,4737.704,5381.366,5710.092,5649.368,5703.174,5704.928,5644.206,5585.224,5534.257,5490.879,5385.349,5461.349,5571.853,5618.596,5808.87,5783.517,5638.869,5252.176,4879.581
39889,AP,4618.657,4569.834,4531.105,4527.545,4625.012,5001.378,5561.987,5924.455,5874.543,5896.578,5841.104,5782.24,5544.414,5475.897,5307.997,5205.25,5105.516,5135.11,5150.848,5411.181,5645.164,5480.491,5151.708,4789.331
39890,AP,4607.676,4552.536,4472.32,4541.579,4668.28,5037.257,5685.631,5972.347,5854.737,5727.084,5608.068,5440.856,5297.531,5213.713,5137.301,5010.333,4987.968,4966.347,5008.471,5216.746,5422.556,5259.987,4837.425,4490.362
39891,AP,4238.709,4118,4036.059,4055.208,4144.618,4481.016,5130.076,5557.49,5541.488,5520.539,5573.737,5595.821,5530.779,5394.274,5289.929,5217.818,5228.97,5205.277,5296.749,5566.198,5749.749,5598.943,5269.3,4946.386
39892,AP,4742.337,4606.446,4561.964,4646.899,4801.239,5178.881,5866.1,6184.01,6121.738,6018.879,5966.991,5870.727,5762.701,5674.973,5551.967,5468.749,5379.451,5327.766,5326.285,5642.522,5906.837,5815.583,5563.621,5301.159
39893,AP,5078.665,5030.577,5039.829,5048.38,5141.97,5338.766,5616.216,5849.493,5946.144,5834.156,5709.055,5528.12,5308.071,5117.788,4948.686,4823.417,4792.722,4814.757,4897.816,5135.083,5289.789,5256.857,5095.96,4837.909
39894,AP,4651.413,4581.194,4554.779,4587.614,4679.251,4802.325,5042.992,5271.184,5399.69,5349.551,5161.488,5022.042,4813.728,4706.77,4497.603,4437.672,4436,4584.609,4667.063,4881.476,5180.518,5082.327,4792.337,4492.463
39895,AP,4336.268,4332.213,4367.941,4455.472,4667.909,5103.736,5845.095,6230.733,6120.738,5967.53,5870.376,5698.085,5558.335,5457.421,5308.851,5189.898,5137.932,5122.304,5186.535,5552.467,5815.786,5716.697,5373.738,5137.763
39896,AP,4912.136,4881.077,4930.419,4974.454,5180.042,5562.044,6281.103,6576.168,6416.47,6158.439,6015.255,5855.34,5725.463,5554.756,5374.397,5240.221,5189.64,5225.602,5348.495,5705.123,5964.197,5779.209,5424.711,5119.25
39897,AP,4896.418,4780.988,4812.104,4814.986,4924.703,5308.529,5982.581,6140.316,6025.177,5945.44,5848.329,5779.148,5722.175,5701.417,5566.306,5506.872,5527.369,5592.676,5701.558,5893.538,5957.159,5741.637,5382.736,4995.553
39898,AP,4724.106,4628.01,4542.892,4539.339,4648.142,4973.603,5609.135,5836.472,5789.637,5758.653,5791.307,5813.174,5763.33,5699.344,5635.96,5589.319,5592.475,5651.563,5673.445,5778.481,5823.714,5614.22,5200.976,4853.551
39899,AP,4587.8,4487.932,4429.332,4437.379,4598.693,4906.318,5490.632,5714.095,5735.598,5635.603,5560.375,5388.102,5219.97,5105.316,5000.329,4931.439,4898.583,4913.97,5006.444,5183.883,5169.517,5077.033,4830.303,4484.762
39900,AP,4188.287,4081.269,3978.554,3941.981,3928.631,4057.351,4233.005,4431.953,4669.67,4861.041,4906.897,4892.543,4789.678,4681.509,4606.16,4534.344,4560.962,4628.16,4666.661,4780.846,4854.925,4706.523,4481.26,4161.664
39901,AP,3940.684,3791.528,3652.415,3574.723,3600.378,3704.927,3876.931,4091.838,4353.722,4514.93,4641.637,4646.586,4632.283,4596.629,4545.065,4493.891,4598.15,4703.394,4767.089,4967.374,5232.571,5060.871,4787.521,4534.164
39902,AP,4406.923,4388.486,4397.088,4410.983,4550.364,4960.447,5553.832,5945.18,5946.247,5997.389,6049.261,5977.647,5794.121,5631.947,5509.226,5359.093,5284.906,5234.243,5260.592,5529.123,5857.794,5621.706,5328.005,5026.796
39903,AP,4783.907,4740.141,4750.975,4811.006,4937.439,5354.961,6032.858,6230.603,6130.071,5869.46,5691.986,5528.66,5366.603,5265.991,5131.135,5019.341,4972.407,4979.339,5027.41,5274.373,5513.576,5298.218,4873.456,4530.198
39904,AP,4211.775,4128.553,4089.622,4140.451,4204.384,4495.104,5154.942,5508.118,5489.67,5499.694,5587.006,5564.643,5537.079,5470.853,5314.212,5276.347,5263.076,5252.356,5267.472,5407.269,5591.849,5314.399,5039.531,4709.96
