DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
6/5/2014,PS,4763.363,4466.277,4260.479,4150,4141.747,4314.106,4666.855,5070.689,5303.482,5415.568,5446.079,5470.038,5410.868,5405.857,5531.728,5640.999,5791.352,5880.892,5798.313,5650.329,5570.291,5496.413,5049.894,4591.291
6/6/2014,PS,4201.724,3938.263,3789.125,3709.922,3723.221,3815.025,4149.585,4552.984,4789.447,4963.628,5108.098,5235.467,5306.09,5415.431,5495.185,5571.283,5654.722,5658.257,5553.547,5411.056,5355.04,5303.12,4947.974,4545.519
6/7/2014,PS,4182.39,3912.537,3751.257,3649.654,3610.094,3555.619,3609.729,3819.187,4091.011,4354.309,4574.917,4737.87,4891.807,5026.752,5175.756,5321.654,5511.768,5663.553,5692.704,5619.701,5542.119,5517.435,5204.746,4821.85
6/8/2014,PS,4441.789,4143.949,3946.71,3810.924,3731.725,3614.526,3611.389,3782.997,4065.032,4326.603,4691.074,5003.834,5254.008,5471.903,5692.149,5885.336,5974.027,5951.793,5840.687,5723.782,5744.93,5719.324,5384.365,4945.072
6/9/2014,PS,4546.057,4305.137,4149.936,4064.922,4053.648,4261.626,4616.124,5050.449,5320.937,5494.508,5601.127,5662.922,5714.609,5776.393,5832.797,5852.145,5858.525,5819.109,5710.438,5676.974,5697.626,5557.524,5158.312,4718.112
6/10/2014,PS,4375.808,4143.539,4011.399,3965.523,3993.215,4173.733,4551.52,5031.745,5318.693,5550.981,5738.14,5986.066,6143.672,6235.839,6364.112,6553.685,6654.184,6632.131,6411.043,6292.273,6261.057,6158.012,5728.14,5221.969
6/11/2014,PS,4804.157,4525.764,4336.382,4209.378,4192.995,4333.515,4664.731,5057.578,5241.512,5340.848,5391.542,5413.065,5369.09,5387.213,5393.181,5405.623,5374.19,5317.365,5201.613,5157.88,5256.102,5154.937,4804.719,4401.81
6/12/2014,PS,4083.233,3880.856,3761.148,3711.114,3742.419,3909.546,4279.733,4723.769,4954.673,5132.401,5275.55,5336.629,5365.557,5423.624,5487.521,5540.129,5552.709,5507.206,5424.782,5421.101,5533.196,5430.314,5085.431,4679.828
6/13/2014,PS,4352.18,4128.607,4011.4,3944.798,3989.188,4157.307,4531.94,5010.786,5317.581,5507.36,5650.807,5784.374,5923.293,6163.699,6449.715,6679.788,6811.762,6554.416,6135.587,5912.9,5853.836,5737.248,5416.276,5016.76
6/14/2014,PS,4646.769,4383.596,4182.395,4047.906,3977.68,3941.948,3966.914,4132.605,4450.882,4738.288,4977.508,5040.634,5042.796,5047.984,5041.371,5001.029,4929.835,4870.763,4753.334,4647.823,4649.807,4682.85,4464.027,4166.486
6/15/2014,PS,3889.967,3679.295,3540.399,3462.861,3424.556,3326.902,3346.265,3451.842,3635.965,3827.009,3985.829,4133.385,4273.054,4413.677,4577.388,4786.784,5015.768,5205.582,5282.086,5268.154,5334.212,5379.934,5070.935,4651.424
6/16/2014,PS,4245.358,3998.672,3845.268,3761.643,3781.845,3885.503,4228.229,4691.702,5043.176,5359.454,5622.092,5861.078,6055.984,6308.427,6551.773,6777.343,6968.229,7011.919,6831.031,6619.164,6496.908,6337.281,5832.527,5302.079
6/17/2014,PS,4861.012,4580.332,4381.847,4292.501,4309.611,4430.122,4835.823,5386.924,5842.183,6271.211,6707.824,7091.04,7450.922,7822.608,8089.931,8308.053,8488.994,8527.805,8385.547,8185.3,8021.764,7876.405,7270.029,6640.503
6/18/2014,PS,6130.53,5786.97,5558.073,5425.271,5403.919,5486.807,5838.954,6364.729,6779.853,7151.923,7504.245,7760.656,7979.51,8223.805,8439.065,8610.673,8690.047,8724.922,8574.767,8342.615,8127.761,7874.21,7229.152,6531.184
6/19/2014,PS,5922.514,5502.612,5202.103,5034.57,4980.5,5083.868,5400.43,5803.107,5979.636,6118.506,6226.811,6306.445,6439.12,6533.395,6500.531,6423.463,6434.91,6488.915,6506.279,6424.842,6332.552,6274.824,5826.711,5299.275
6/20/2014,PS,4795.425,4467.846,4229.269,4079.868,4048.006,4071.056,4364.011,4786.064,5089.649,5341.589,5539.713,5705.551,5817.817,5998.964,6161.944,6325.678,6435.988,6459.252,6274.642,6035.339,5896.414,5781.73,5414.154,4990.444
